1	一
2	乙
3	二
4	十
5	丁
6	厂
7	七
8	卜
9	八
10	人
11	入
12	儿
13	匕
14	几
15	九
16	刁
17	了
18	刀
19	力
20	乃
21	又
22	三
23	干
24	于
25	亏
26	工
27	土
28	士
29	才
30	下
31	寸
32	大
33	丈
34	与
35	万
36	上
37	小
38	口
39	山
40	巾
41	千
42	乞
43	川
44	亿
45	个
46	夕
47	久
48	么
49	勺
50	凡
51	丸
52	及
53	广
54	亡
55	门
56	丫
57	义
58	之
59	尸
60	己
61	已
62	巳
63	弓
64	子
65	卫
66	也
67	女
68	刃
69	飞
70	习
71	叉
72	马
73	乡
74	丰
75	王
76	开
77	井
78	天
79	夫
80	元
81	无
82	云
83	专
84	丐
85	扎
86	艺
87	木
88	五
89	支
90	厅
91	不
92	犬
93	太
94	区
95	历
96	歹
97	友
98	尤
99	匹
100	车
